form_field, field_value
1,2
2,3
3,2
4,2
5,2
6,1
7,3
8,2
9,1
10,3
11,2
12,1
13,2
14,3
15,2
16,2
17,2
18,1
19,2
20,2
21,2
22,1
23,2
24,4
25,2
26,3
27,2
28,3
29,2
30,2
31,2
32,4
33,2
34,2
35,3
36,2
37,1
38,3
39,2
40,2

id,X,Y,Exploit,Replenishment Rate,Rewarding
0,729,600,3,4,false
1,521,600,54,4,true
2,375,454,52,4,true
3,375,246,1,4,false
4,521,100,44,4,true
5,729,100,1,4,false
6,875,246,42,4,true
7,875,454,1,4,false
-1,-1,-1,-1,-1
0,729,600,1,2,false
1,521,600,1,2,false
2,375,454,85,8,true
3,375,246,32,2,true
4,521,100,1,2,false
5,729,100,14,2,true
6,875,246,1,2,false
7,875,454,70,8,true
-1,-1,-1,-1,-1
0,729,600,11,2,true
1,521,600,1,2,false
2,375,454,1,2,false
3,375,246,63,4,true
4,521,100,73,8,true
5,729,100,1,2,false
6,875,246,73,16,true
7,875,454,1,2,false
-1,-1,-1,-1,-1

Normals
-10.64499778532544
0.48726440062610565
-2.196180854129874

id, exploit, reward
3,1,0
4,1,54
4,2,48
4,3,43
5,1,0
6,1,65
6,2,55
6,3,48
6,4,40
7,1,0
0,1,0
1,1,80
1,2,75
1,3,67
1,4,60
1,5,53
1,6,45
1,7,40
2,1,106
2,2,97
2,3,84
2,4,76
2,5,67
2,6,61
2,7,53
2,8,48
2,9,43
2,10,37
2,11,34
2,12,29
2,13,26
2,14,23
2,15,21
2,16,18
2,17,16
2,18,14
2,19,12
2,20,10
1,8,104
1,9,94
1,10,84
1,11,76
1,12,66
1,13,58
1,14,53
1,15,49
1,16,44
1,17,40
0,2,0
1,18,35
1,19,31
6,5,186
6,6,170
6,7,151
6,8,136
6,9,119
6,10,102
6,11,86
6,12,77
6,13,67
6,14,59
6,15,55
6,16,49
6,17,43
4,4,178
4,5,162
4,6,149
4,7,132
4,8,118
4,9,105
4,10,97
4,11,88
4,12,81
4,13,76
4,14,68
4,15,63
4,16,57
4,17,51
2,21,153
2,22,137
2,23,119
2,24,107
2,25,96
2,26,86
2,27,78
2,28,71
2,29,61
2,30,54
2,31,47
2,32,41
1,20,187
1,21,172
1,22,157
1,23,142
1,24,132
1,25,117
1,26,107
1,27,93
1,28,82
1,29,77
1,30,68
2,33,77
4,18,133
4,19,124
4,20,108
4,21,96
4,22,86
4,23,80
4,24,71
4,25,66
6,18,178
6,19,159
6,20,141
6,21,125
6,22,108
6,23,98
6,24,88
6,25,79
6,26,70
6,27,61
1,31,124
1,32,113
1,33,99
1,34,87
1,35,82
1,36,69
1,37,59
1,38,52
2,34,169
2,35,148
2,36,132
2,37,121
2,38,102
2,39,88
2,40,80
2,41,72
2,42,61
4,26,152
4,27,133
4,28,119
4,29,106
4,30,94
4,31,87
4,32,81
4,33,73
4,34,66
4,35,59
6,28,153
6,29,143
6,30,130
6,31,112
6,32,101
6,33,88
6,34,77
6,35,68
6,36,60
1,39,143
1,40,123
1,41,110
1,42,94
1,43,84
1,44,74
1,45,66
1,46,59
0,3,0
2,43,159
2,44,141
2,45,122
2,46,110
2,47,98
2,48,89
2,49,80
2,50,70
2,51,59
2,52,53
4,36,160
4,37,143
4,38,128
4,39,113
4,40,101
4,41,92
4,42,88
4,43,81
4,44,68
6,37,145
6,38,125
6,39,115
6,40,101
6,41,88
6,42,77
1,47,145
1,48,130
1,49,117
1,50,104
1,51,92
1,52,82
1,53,74
1,54,66
-1,-1,17168
0,1,0
7,1,63
7,2,57
7,3,51
7,4,45
6,1,0
5,1,68
5,2,62
5,3,54
5,4,47
4,1,0
3,1,77
3,2,69
3,3,63
3,4,53
3,5,46
2,1,165
2,2,149
2,3,131
2,4,117
2,5,110
2,6,99
2,7,88
2,8,80
2,9,68
2,10,61
2,11,56
2,12,50
1,1,0
7,5,174
7,6,153
7,7,139
7,8,126
7,9,117
7,10,107
7,11,94
7,12,87
5,5,81
5,6,72
5,7,64
5,8,59
5,9,54
3,6,80
3,7,69
3,8,62
3,9,56
3,10,50
3,11,43
3,12,39
2,13,182
2,14,158
2,15,143
2,16,130
2,17,118
2,18,105
2,19,90
2,20,80
2,21,72
2,22,62
2,23,54
7,13,175
7,14,154
7,15,140
7,16,127
7,17,113
7,18,99
7,19,90
7,20,80
7,21,75
7,22,67
7,23,61
7,24,53
7,25,48
5,10,97
5,11,89
5,12,74
5,13,65
5,14,57
2,24,184
2,25,171
2,26,152
2,27,143
2,28,130
2,29,113
2,30,96
2,31,87
2,32,79
2,33,69
2,34,63
2,35,58
3,13,113
3,14,100
3,15,87
3,16,76
3,17,67
3,18,60
7,26,181
7,27,164
7,28,144
7,29,133
7,30,119
7,31,108
7,32,98
7,33,87
7,34,80
7,35,70
7,36,59
7,37,55
2,36,182
2,37,166
2,38,149
2,39,138
2,40,126
2,41,113
2,42,103
2,43,93
2,44,83
2,45,74
2,46,67
2,47,57
2,48,52
2,49,46
3,19,102
3,20,89
3,21,80
3,22,71
3,23,61
3,24,55
3,25,49
7,38,179
7,39,165
7,40,154
7,41,133
7,42,121
7,43,102
7,44,94
7,45,84
7,46,77
7,47,69
7,48,63
7,49,55
7,50,47
2,50,187
2,51,162
2,52,146
2,53,133
2,54,121
2,55,106
2,56,93
2,57,86
2,58,78
2,59,73
2,60,65
2,61,57
2,62,52
3,26,99
3,27,90
3,28,84
3,29,76
3,30,69
3,31,59
3,32,53
7,51,172
7,52,150
7,53,133
7,54,121
7,55,106
7,56,93
7,57,82
7,58,75
7,59,68
7,60,61
7,61,56
7,62,50
2,63,178
2,64,164
2,65,147
2,66,131
2,67,118
2,68,105
2,69,94
2,70,86
2,71,77
2,72,67
2,73,60
2,74,53
7,63,128
7,64,120
7,65,105
7,66,95
7,67,85
7,68,73
7,69,65
7,70,59
2,75,107
2,76,98
2,77,89
2,78,80
2,79,72
2,80,62
2,81,53
2,82,48
2,83,43
2,84,38
2,85,33
-1,-1,18747
3,1,61
3,2,56
3,3,49
2,1,0
1,1,0
0,1,62
0,2,56
0,3,50
7,1,0
6,1,150
6,2,138
6,3,125
6,4,114
6,5,105
6,6,93
6,7,86
6,8,79
6,9,70
6,10,66
6,11,58
6,12,51
5,1,0
4,1,177
4,2,164
4,3,149
4,4,134
4,5,126
4,6,113
4,7,101
4,8,90
4,9,80
4,10,71
4,11,63
4,12,54
4,13,47
3,4,153
3,5,136
3,6,119
3,7,106
3,8,97
3,9,92
3,10,81
3,11,72
3,12,66
3,13,61
3,14,52
3,15,48
0,4,105
0,5,97
0,6,90
0,7,83
0,8,75
0,9,66
0,10,59
0,11,52
6,13,181
6,14,159
6,15,140
6,16,124
6,17,109
6,18,100
6,19,88
6,20,79
6,21,71
6,22,66
6,23,58
6,24,52
4,14,189
4,15,174
4,16,161
4,17,142
4,18,126
4,19,113
4,20,104
4,21,92
4,22,85
4,23,79
4,24,71
3,16,154
3,17,140
3,18,128
3,19,119
3,20,104
3,21,92
3,22,82
3,23,73
3,24,65
3,25,55
6,25,186
6,26,168
6,27,144
6,28,123
6,29,109
6,30,97
6,31,88
6,32,78
6,33,70
6,34,63
6,35,58
6,36,52
4,25,178
4,26,159
4,27,143
4,28,130
4,29,113
4,30,99
4,31,87
4,32,77
4,33,68
4,34,61
4,35,57
4,36,50
3,26,131
3,27,119
3,28,110
3,29,101
3,30,92
3,31,83
3,32,72
3,33,66
3,34,59
3,35,52
6,37,182
6,38,164
6,39,151
6,40,134
6,41,118
6,42,105
6,43,96
6,44,87
6,45,75
6,46,66
6,47,59
6,48,52
4,37,175
4,38,160
4,39,135
4,40,122
4,41,109
4,42,96
4,43,84
4,44,76
4,45,68
4,46,61
4,47,56
4,48,50
3,36,135
3,37,123
3,38,114
3,39,100
3,40,92
3,41,82
3,42,71
3,43,66
3,44,60
3,45,54
3,46,48
6,49,179
6,50,164
6,51,148
6,52,134
6,53,122
6,54,108
6,55,98
6,56,84
6,57,76
6,58,64
6,59,58
6,60,53
6,61,47
4,49,184
4,50,166
4,51,151
4,52,136
4,53,118
4,54,109
4,55,98
4,56,87
4,57,76
4,58,64
4,59,58
4,60,51
3,47,135
3,48,116
3,49,104
3,50,91
3,51,82
3,52,73
3,53,65
3,54,59
3,55,52
6,62,176
6,63,165
6,64,145
6,65,129
6,66,117
6,67,107
6,68,94
6,69,83
6,70,75
6,71,66
6,72,58
6,73,51
4,61,179
4,62,157
4,63,148
4,64,132
4,65,114
4,66,102
4,67,91
4,68,79
4,69,71
4,70,62
4,71,57
4,72,51
4,73,47
3,56,132
3,57,119
3,58,105
3,59,98
3,60,90
3,61,84
3,62,71
3,63,64
-1,-1,21621

difficulty
2
2
2
