form_field, field_value
1,3
2,4
3,2
4,2
5,3
6,1
7,1
8,3
9,2
10,2
11,4
12,2
13,1
14,1
15,3
16,3
17,2
18,2
19,2
20,3
21,4
22,2
23,3
24,2
25,2
26,2
27,3
28,3
29,3
30,4
31,1
32,2
33,3
34,3
35,2
36,2
37,3
38,3
39,3
40,2

id,X,Y,Exploit,Replenishment Rate,Rewarding
0,729,600,6,4,false
1,521,600,32,4,true
2,375,454,32,4,true
3,375,246,2,4,false
4,521,100,42,4,true
5,729,100,4,4,false
6,875,246,34,4,true
7,875,454,2,4,false
-1,-1,-1,-1,12523,false
0,729,600,2,2,false
1,521,600,2,2,false
2,375,454,53,8,true
3,375,246,31,2,true
4,521,100,1,2,false
5,729,100,33,2,true
6,875,246,1,2,false
7,875,454,57,8,true
-1,-1,-1,-1,17070,false
0,729,600,31,2,true
1,521,600,1,2,false
2,375,454,1,2,false
3,375,246,43,4,true
4,521,100,40,8,true
5,729,100,1,2,false
6,875,246,48,16,true
7,875,454,1,2,false
-1,-1,-1,-1,16675,false

Normals
8.159710893082044
-7.5700312452871765
-4.281133426849573

id, exploit, reward, time
0,1,0,0:9.40
0,2,0,0:10.640
5,1,0,0:17.360
5,2,0,0:18.680
4,1,69,0:24.400
3,1,0,0:28.540
0,3,0,0:33.700
2,1,76,0:38.90
1,1,78,0:40.940
0,4,0,0:43.900
7,1,0,0:46.950
6,1,74,0:49.940
5,3,0,0:53.20
4,2,67,0:55.990
3,2,0,0:58.710
4,3,62,1:1.400
4,4,55,1:2.890
4,5,49,1:4.60
4,6,45,1:5.460
2,2,89,1:9.650
2,3,79,1:11.0
2,4,71,1:12.350
0,5,0,1:18.920
1,2,99,1:21.800
1,3,91,1:23.120
1,4,82,1:24.490
4,7,63,1:28.840
6,2,113,1:32.790
6,3,102,1:34.90
6,4,90,1:35.460
6,5,85,1:36.790
5,4,0,1:39.530
7,2,0,1:44.590
0,6,0,1:47.470
1,5,93,1:50.30
1,6,86,1:51.340
1,7,77,1:52.640
1,8,69,1:53.900
1,9,63,1:55.200
1,10,58,1:56.400
1,11,53,1:57.500
1,12,48,1:58.580
1,13,43,1:59.670
2,5,134,2:2.210
2,6,124,2:3.520
2,7,111,2:4.580
2,8,98,2:5.660
2,9,85,2:6.670
2,10,71,2:7.700
2,11,62,2:8.770
2,12,56,2:9.940
4,8,128,2:13.820
4,9,118,2:17.240
4,10,103,2:18.390
4,11,95,2:19.510
4,12,87,2:20.650
4,13,78,2:21.830
4,14,68,2:23.50
4,15,62,2:24.340
6,6,168,2:32.560
6,7,155,2:33.830
6,8,143,2:34.980
6,9,121,2:36.130
6,10,106,2:37.330
6,11,101,2:38.520
1,14,109,2:42.970
1,15,97,2:44.130
2,13,112,2:46.730
2,14,100,2:47.850
2,15,88,2:49.150
4,16,92,2:53.50
4,17,85,2:54.480
4,18,74,2:55.770
4,19,68,2:56.850
4,20,61,2:57.950
4,21,54,2:59.50
4,22,50,3:0.50
4,23,44,3:1.80
4,24,38,3:2.180
4,25,34,3:3.280
4,26,31,3:4.440
4,27,27,3:5.590
