form_field, field_value
1,3
2,3
3,2
4,2
5,4
6,2
7,3
8,3
9,1
10,1
11,2
12,3
13,2
14,2
15,3
16,3
17,2
18,2
19,3
20,4
21,3
22,2
23,2
24,1
25,2
26,3
27,4
28,2
29,3
30,3
31,1
32,2
33,3
34,2
35,2
36,3
37,2
38,2
39,3
40,1

id,X,Y,Exploit,Replenishment Rate,Rewarding
0,729,600,2,4,false
1,521,600,23,4,true
2,375,454,41,4,true
3,375,246,2,4,false
4,521,100,47,4,true
5,729,100,3,4,false
6,875,246,4,4,true
7,875,454,2,4,false
-1,-1,-1,-1,7705,false
0,729,600,1,2,false
1,521,600,1,2,false
2,375,454,38,8,true
3,375,246,28,2,true
4,521,100,1,2,false
5,729,100,46,2,true
6,875,246,1,2,false
7,875,454,51,8,true
-1,-1,-1,-1,14155,false
0,729,600,29,2,true
1,521,600,1,2,false
2,375,454,1,2,false
3,375,246,46,4,true
4,521,100,42,8,true
5,729,100,1,2,false
6,875,246,54,16,true
7,875,454,1,2,false
-1,-1,-1,-1,17755,false

Normals
-2.5138513398917883
6.405813207265046
3.3297748372346385

id, exploit, reward, time
4,1,59,0:6.790
4,2,54,0:8.310
4,3,47,0:9.770
4,4,43,0:11.500
2,1,75,0:15.780
2,2,66,0:17.220
2,3,56,0:18.900
2,4,50,0:20.340
7,1,0,0:25.460
6,1,92,0:29.810
6,2,85,0:31.250
6,3,76,0:33.30
6,4,68,0:34.410
5,1,0,0:39.240
5,2,0,0:41.280
1,1,99,0:46.110
1,2,90,0:47.670
1,3,81,0:49.650
3,1,0,0:55.10
0,1,0,1:0.390
7,2,0,1:4.10
4,5,80,1:10.280
4,6,73,1:11.780
4,7,64,1:13.300
4,8,58,1:15.170
2,5,89,1:19.260
2,6,80,1:20.810
2,7,71,1:22.320
2,8,62,1:23.780
2,9,54,1:25.160
2,10,48,1:26.640
2,11,43,1:27.990
2,12,39,1:29.300
3,2,0,1:33.400
4,9,80,1:37.760
4,10,69,1:39.330
5,3,0,1:42.910
2,13,43,1:48.200
2,14,39,1:49.670
2,15,35,1:51.20
2,16,30,1:52.380
2,17,26,1:53.720
4,11,83,1:59.20
4,12,74,2:0.480
4,13,65,2:2.30
4,14,57,2:3.590
4,15,51,2:5.360
4,16,45,2:6.830
2,18,45,2:11.90
2,19,40,2:12.650
2,20,35,2:14.380
2,21,29,2:15.920
2,22,25,2:17.450
4,17,57,2:22.100
4,18,52,2:23.740
4,19,46,2:25.420
4,20,41,2:26.970
4,21,37,2:28.430
4,22,32,2:30.0
2,23,50,2:34.380
2,24,45,2:35.890
2,25,41,2:37.370
2,26,36,2:38.840
0,2,0,2:43.320
1,4,180,2:47.410
1,5,167,2:49.120
1,6,156,2:50.590
1,7,142,2:52.160
1,8,122,2:53.600
1,9,109,2:55.80
1,10,96,2:56.550
1,11,89,2:57.960
1,12,79,2:59.300
4,23,79,3:4.810
4,24,71,3:6.240
4,25,63,3:7.600
4,26,56,3:9.10
4,27,50,3:10.370
4,28,45,3:11.800
4,29,39,3:13.220
4,30,33,3:14.570
2,27,95,3:18.590
2,28,83,3:19.970
2,29,76,3:21.540
2,30,66,3:22.880
2,31,57,3:24.240
2,32,50,3:25.710
2,33,43,3:27.100
1,13,133,3:30.620
1,14,113,3:32.70
1,15,103,3:33.820
1,16,95,3:35.160
1,17,86,3:36.630
1,18,76,3:38.140
4,31,82,3:43.670
4,32,75,3:45.80
4,33,68,3:46.510
4,34,61,3:48.170
2,34,77,3:53.30
2,35,72,3:54.660
2,36,65,3:56.130
2,37,59,3:57.560
1,19,99,4:0.980
1,20,91,4:2.280
1,21,79,4:4.660
1,22,69,4:31.790
1,23,63,4:33.520
2,38,73,4:36.650
2,39,64,4:37.950
2,40,59,4:39.250
2,41,53,4:40.550
4,35,101,4:45.200
4,36,90,4:46.520
4,37,79,4:47.680
4,38,74,4:49.0
4,39,65,4:50.100
4,40,61,4:51.200
4,41,54,4:52.350
4,42,46,4:53.500
4,43,41,4:54.540
4,44,38,4:55.920
4,45,33,4:57.270
4,46,28,4:58.370
4,47,24,4:59.850
-1,-1,7705,undefined
2,1,66,0:4.70
2,2,58,0:5.570
2,3,51,0:7.10
2,4,46,0:8.360
3,1,75,0:11.590
3,2,65,0:13.30
3,3,58,0:14.860
3,4,54,0:16.280
4,1,0,0:20.240
5,1,83,0:24.10
5,2,74,0:25.530
5,3,69,0:27.60
5,4,63,0:28.490
5,5,56,0:29.960
6,1,0,0:33.560
7,1,157,0:36.920
7,2,141,0:38.430
7,3,131,0:40.60
7,4,122,0:42.320
7,5,109,0:43.840
0,1,0,0:47.110
1,1,0,0:50.510
3,5,60,0:56.80
3,6,53,0:57.490
3,7,46,0:58.840
2,5,167,1:2.180
2,6,150,1:3.690
2,7,138,1:5.10
2,8,125,1:6.340
2,9,105,1:7.820
2,10,93,1:9.290
7,6,163,1:14.300
7,7,145,1:15.600
7,8,131,1:16.890
7,9,114,1:18.260
7,10,104,1:19.550
7,11,96,1:20.630
5,6,84,1:25.590
5,7,74,1:26.910
5,8,66,1:28.210
5,9,61,1:29.610
5,10,56,1:30.940
5,11,49,1:32.290
3,8,75,1:36.650
3,9,67,1:37.880
3,10,63,1:39.140
3,11,58,1:40.360
2,11,185,1:43.560
2,12,163,1:44.820
2,13,144,1:46.100
2,14,136,1:47.350
2,15,127,1:48.590
2,16,113,1:49.890
2,17,105,1:51.210
2,18,94,1:52.460
2,19,85,1:53.710
7,12,177,1:58.510
7,13,158,1:59.740
7,14,142,2:1.10
7,15,131,2:2.310
7,16,120,2:3.380
7,17,103,2:4.560
7,18,89,2:5.820
7,19,79,2:7.80
7,20,72,2:8.210
7,21,66,2:10.420
7,22,61,2:11.980
7,23,54,2:14.30
7,24,45,2:15.60
7,25,39,2:16.390
7,26,36,2:17.910
7,27,33,2:19.260
7,28,29,2:20.710
5,12,97,2:27.990
5,13,87,2:29.220
5,14,80,2:30.470
5,15,74,2:31.910
5,16,67,2:33.150
5,17,61,2:34.510
5,18,55,2:35.800
5,19,50,2:37.220
5,20,46,2:38.450
5,21,41,2:39.830
3,12,118,2:44.590
3,13,103,2:45.810
3,14,92,2:46.960
3,15,83,2:48.690
3,16,70,2:50.110
3,17,63,2:51.400
3,18,58,2:53.390
3,19,51,2:54.840
3,20,46,2:55.990
3,21,40,2:57.470
3,22,36,2:59.180
3,23,31,3:1.350
3,24,27,3:3.480
3,25,25,3:4.910
2,20,176,3:10.940
2,21,159,3:12.210
2,22,142,3:13.600
2,23,128,3:14.910
2,24,118,3:16.230
2,25,107,3:17.290
2,26,100,3:18.620
2,27,85,3:19.770
2,28,73,3:22.10
2,29,65,3:23.400
7,29,183,3:28.340
7,30,166,3:29.490
7,31,143,3:30.670
7,32,128,3:31.910
7,33,116,3:33.200
7,34,101,3:34.400
7,35,90,3:35.650
7,36,82,3:36.890
7,37,73,3:38.440
7,38,64,3:39.670
7,39,57,3:40.830
7,40,50,3:41.910
7,41,46,3:43.130
5,22,107,3:47.610
5,23,95,3:48.760
5,24,89,3:49.820
5,25,80,3:52.330
5,26,72,3:53.650
5,27,64,3:55.920
5,28,57,3:57.210
5,29,50,3:58.230
5,30,45,3:59.250
3,26,79,4:3.250
3,27,72,4:4.280
3,28,65,4:6.40
2,30,185,4:9.760
2,31,170,4:10.900
2,32,152,4:12.830
2,33,139,4:14.300
2,34,127,4:15.590
2,35,113,4:16.940
2,36,102,4:18.290
2,37,87,4:19.630
2,38,77,4:20.920
7,42,180,4:25.830
7,43,166,4:26.970
7,44,144,4:28.330
7,45,133,4:29.420
7,46,121,4:30.620
7,47,111,4:31.890
7,48,100,4:33.150
7,49,88,4:34.310
7,50,82,4:35.430
7,51,72,4:36.540
5,31,71,4:40.700
5,32,66,4:41.720
5,33,60,4:42.770
5,34,54,4:43.780
5,35,48,4:44.830
5,36,41,4:45.930
5,37,37,4:47.830
5,38,33,4:48.970
5,39,28,4:49.970
5,40,25,4:51.260
5,41,23,4:52.430
5,42,21,4:53.480
5,43,19,4:55.670
5,44,17,4:56.910
5,45,15,4:58.200
5,46,13,4:59.310
-1,-1,14155,undefined
3,1,62,0:4.200
3,2,55,0:5.480
3,3,50,0:6.760
3,4,43,0:8.30
3,5,39,0:9.310
2,1,0,0:12.390
1,1,0,0:15.530
0,1,76,0:18.530
0,2,67,0:19.850
0,3,59,0:21.260
0,4,51,0:22.700
7,1,0,0:26.640
6,1,183,0:30.260
6,2,169,0:31.630
6,3,154,0:33.200
6,4,146,0:34.740
6,5,127,0:36.30
6,6,110,0:37.280
6,7,97,0:38.500
6,8,86,0:39.740
6,9,78,0:41.60
5,1,0,0:44.80
4,1,178,0:47.820
4,2,165,0:49.380
4,3,145,0:50.870
4,4,129,0:52.370
4,5,117,0:53.880
4,6,106,0:55.370
4,7,98,0:56.890
3,6,105,1:0.170
3,7,96,1:1.690
3,8,83,1:3.280
3,9,72,1:4.770
3,10,65,1:6.120
3,11,59,1:7.350
3,12,53,1:8.400
0,5,86,1:14.90
0,6,79,1:15.360
0,7,70,1:16.690
0,8,62,1:18.310
0,9,58,1:19.710
0,10,51,1:21.40
0,11,44,1:22.440
6,10,188,1:27.220
6,11,166,1:28.510
6,12,152,1:29.810
6,13,140,1:31.60
6,14,123,1:32.390
6,15,110,1:33.760
6,16,94,1:35.80
6,17,83,1:36.590
6,18,71,1:37.890
6,19,62,1:39.160
6,20,52,1:40.330
4,8,183,1:44.390
