form_field, field_value
1,4
2,4
3,1
4,1
5,4
6,1
7,1
8,3
9,1
10,2
11,4
12,1
13,1
14,1
15,4
16,4
17,1
18,1
19,4
20,4
21,3
22,3
23,3
24,1
25,1
26,3
27,4
28,2
29,2
30,4
31,2
32,2
33,4
34,3
35,1
36,4
37,2
38,2
39,3
40,3

id,X,Y,Exploit,Replenishment Rate,Rewarding
0,729,600,1,4,false
1,521,600,39,4,true
2,375,454,38,4,true
3,375,246,2,4,false
4,521,100,39,4,true
5,729,100,1,4,false
6,875,246,51,4,true
7,875,454,1,4,false
-1,-1,-1,-1,-1
0,729,600,1,2,false
1,521,600,1,2,false
2,375,454,56,8,true
3,375,246,22,2,true
4,521,100,3,2,false
5,729,100,20,2,true
6,875,246,1,2,false
7,875,454,57,8,true
-1,-1,-1,-1,-1
0,729,600,15,2,true
1,521,600,1,2,false
2,375,454,2,2,false
3,375,246,34,4,true
4,521,100,51,8,true
5,729,100,2,2,false
6,875,246,62,16,true
7,875,454,1,2,false
-1,-1,-1,-1,-1

Normals
-11.89995682311591
-3.90249598596484
-0.6817511045287562

id, exploit, reward
3,1,0
4,1,51
4,2,44
4,3,40
4,4,35
4,5,32
4,6,28
4,7,25
5,1,0
6,1,78
6,2,71
6,3,64
6,4,60
6,5,54
6,6,50
6,7,45
6,8,40
6,9,36
7,1,0
0,1,0
1,1,109
1,2,100
1,3,89
1,4,79
1,5,69
1,6,60
1,7,53
1,8,47
1,9,42
1,10,39
1,11,34
6,10,74
6,11,67
6,12,62
6,13,56
6,14,50
6,15,43
6,16,38
2,1,180
2,2,162
2,3,141
2,4,121
2,5,104
2,6,95
2,7,83
2,8,74
2,9,66
1,12,83
1,13,72
1,14,65
1,15,58
2,10,73
2,11,65
2,12,58
2,13,51
6,17,97
6,18,88
6,19,81
6,20,72
6,21,65
6,22,56
6,23,48
4,8,169
4,9,145
4,10,132
4,11,116
4,12,103
4,13,91
4,14,82
4,15,74
4,16,65
3,2,0
2,14,103
2,15,90
2,16,81
1,16,123
1,17,108
1,18,100
1,19,90
1,20,82
1,21,74
1,22,68
2,17,97
2,18,91
2,19,83
4,17,111
4,18,100
4,19,86
4,20,75
6,24,144
6,25,132
6,26,116
6,27,106
6,28,94
1,23,109
1,24,99
1,25,87
1,26,75
1,27,67
2,20,126
2,21,116
2,22,105
2,23,95
4,21,121
4,22,108
4,23,98
4,24,86
4,25,78
4,26,69
6,29,133
6,30,117
6,31,105
6,32,98
6,33,85
4,27,79
4,28,69
6,34,86
6,35,77
1,28,123
1,29,111
1,30,100
1,31,90
2,24,158
2,25,149
2,26,138
2,27,126
2,28,114
2,29,99
2,30,90
4,29,107
4,30,96
4,31,87
6,36,121
6,37,103
6,38,95
6,39,81
1,32,131
1,33,118
1,34,103
1,35,88
2,31,128
2,32,118
2,33,103
2,34,93
4,32,122
4,33,113
4,34,102
6,40,112
6,41,101
6,42,94
6,43,84
2,35,108
2,36,96
2,37,87
1,36,124
1,37,110
1,38,93
1,39,84
2,38,91
4,35,137
4,36,123
4,37,109
4,38,96
4,39,85
6,44,128
6,45,114
6,46,102
6,47,93
6,48,83
6,49,75
6,50,64
6,51,56
-1,-1,14997
3,1,58
3,2,51
2,1,74
2,2,64
2,3,57
3,3,51
4,1,0
5,1,70
5,2,63
5,3,58
5,4,49
6,1,0
7,1,132
7,2,120
7,3,109
7,4,96
0,1,0
1,1,0
2,4,114
2,5,102
2,6,91
2,7,79
2,8,72
3,4,72
3,5,64
2,9,81
2,10,74
2,11,67
2,12,60
2,13,53
3,6,71
3,7,66
3,8,59
3,9,52
3,10,47
3,11,41
4,2,0
5,5,77
5,6,69
5,7,60
7,5,186
7,6,166
7,7,146
7,8,135
7,9,123
7,10,113
7,11,99
7,12,90
2,14,174
2,15,151
2,16,131
2,17,116
2,18,102
3,12,71
2,19,99
7,13,132
7,14,116
7,15,104
7,16,96
4,3,0
5,8,90
5,9,79
3,13,76
3,14,68
2,20,156
2,21,141
2,22,127
2,23,111
2,24,105
7,17,155
7,18,140
7,19,123
7,20,107
7,21,94
2,25,132
2,26,118
2,27,102
2,28,92
2,29,82
3,15,82
5,10,108
5,11,97
5,12,85
7,22,156
7,23,140
7,24,128
7,25,111
7,26,100
7,27,86
2,30,146
2,31,135
2,32,124
2,33,110
2,34,97
7,28,111
7,29,98
5,13,95
5,14,87
5,15,77
3,16,106
3,17,97
3,18,88
2,35,148
2,36,133
2,37,121
2,38,112
2,39,97
7,30,168
7,31,147
7,32,129
7,33,118
7,34,108
7,35,97
2,40,129
2,41,115
2,42,102
2,43,90
3,19,113
3,20,98
5,16,104
5,17,91
7,36,144
7,37,129
7,38,116
7,39,104
7,40,96
2,44,143
2,45,127
2,46,112
2,47,101
3,21,113
3,22,103
5,18,106
5,19,94
5,20,85
7,41,146
7,42,133
7,43,124
7,44,113
7,45,106
7,46,98
2,48,166
2,49,145
2,50,132
2,51,116
2,52,105
2,53,89
7,47,133
7,48,117
7,49,103
7,50,93
2,54,113
2,55,101
2,56,91
7,51,104
7,52,92
7,53,77
7,54,69
7,55,63
7,56,56
7,57,50
-1,-1,15963
2,1,0
1,1,0
0,1,62
0,2,56
7,1,0
6,1,94
6,2,82
6,3,74
5,1,0
4,1,94
4,2,86
4,3,80
3,1,89
3,2,79
3,3,73
3,4,63
3,5,55
2,2,0
0,3,65
0,4,59
0,5,53
6,4,180
6,5,162
6,6,143
6,7,129
6,8,117
6,9,102
6,10,90
5,2,0
4,4,171
4,5,153
4,6,135
4,7,125
4,8,114
4,9,106
4,10,93
4,11,83
3,6,111
3,7,102
3,8,91
4,12,96
6,11,180
6,12,163
6,13,145
6,14,131
6,15,111
6,16,102
6,17,91
0,6,107
0,7,98
0,8,86
6,18,124
6,19,112
6,20,103
3,9,143
3,10,132
3,11,114
4,13,185
4,14,174
4,15,160
4,16,149
4,17,139
4,18,120
4,19,112
6,21,178
6,22,167
6,23,151
6,24,132
6,25,119
6,26,108
3,12,152
3,13,134
3,14,120
3,15,109
4,20,181
4,21,168
4,22,149
4,23,136
4,24,122
4,25,108
3,16,121
0,9,125
0,10,109
6,27,182
6,28,165
6,29,145
6,30,131
6,31,117
6,32,102
4,26,161
4,27,149
4,28,132
4,29,118
4,30,107
3,17,163
3,18,148
3,19,129
3,20,114
3,21,100
4,31,134
4,32,122
4,33,107
4,34,94
6,33,174
6,34,156
6,35,135
6,36,120
6,37,113
4,35,122
4,36,109
3,22,131
3,23,119
3,24,107
6,38,172
6,39,160
6,40,143
6,41,127
6,42,116
6,43,99
0,11,151
0,12,135
0,13,123
0,14,112
0,15,103
6,44,164
6,45,147
6,46,126
6,47,113
6,48,99
3,25,152
3,26,136
3,27,117
4,37,179
4,38,159
4,39,148
4,40,128
6,49,177
6,50,163
6,51,149
3,28,130
3,29,117
4,41,144
4,42,131
