form_field, field_value
1,3
2,3
3,1
4,1
5,4
6,1
7,2
8,4
9,1
10,1
11,4
12,1
13,1
14,1
15,4
16,3
17,1
18,1
19,4
20,3
21,3
22,1
23,3
24,2
25,1
26,3
27,3
28,1
29,3
30,3
31,1
32,2
33,4
34,3
35,1
36,4
37,2
38,2
39,4
40,2

id,X,Y,Exploit,Replenishment Rate,Rewarding
0,729,600,2,4,false
1,521,600,35,4,true
2,375,454,39,4,true
3,375,246,4,4,false
4,521,100,31,4,true
5,729,100,3,4,false
6,875,246,4,4,true
7,875,454,3,4,false
-1,-1,-1,-1,4954,false
0,729,600,1,2,false
1,521,600,1,2,false
2,375,454,31,8,true
3,375,246,57,2,true
4,521,100,1,2,false
5,729,100,31,2,true
6,875,246,1,2,false
7,875,454,34,8,true
-1,-1,-1,-1,6102,false
0,729,600,34,2,true
1,521,600,1,2,false
2,375,454,1,2,false
3,375,246,54,4,true
4,521,100,63,8,true
5,729,100,2,2,false
6,875,246,32,16,true
7,875,454,2,2,false
-1,-1,-1,-1,8221,false

Normals
-18.72489883275111
-4.1718747269846785
2.1463698410924508

id, exploit, reward, time
5,1,0,0:8.0
2,1,45,0:13.540
7,1,0,0:19.700
4,1,51,0:28.300
1,1,51,0:35.230
6,1,56,0:41.240
3,1,0,0:47.200
0,1,0,0:52.610
5,2,0,1:0.790
1,2,50,1:7.910
6,2,56,1:12.720
3,2,0,1:17.590
5,3,0,1:39.430
6,3,50,1:42.860
2,2,64,1:49.320
4,2,63,1:53.830
0,2,0,1:59.40
7,2,0,2:2.470
6,4,50,2:5.790
2,3,63,2:11.360
2,4,58,2:14.440
2,5,52,2:16.980
2,6,48,2:18.870
2,7,42,2:20.540
2,8,38,2:22.290
2,9,35,2:24.130
2,10,31,2:26.270
2,11,28,2:28.40
2,12,24,2:29.660
4,3,98,2:34.140
4,4,87,2:35.580
4,5,77,2:37.20
4,6,68,2:38.470
4,7,62,2:40.110
4,8,58,2:41.670
4,9,50,2:43.480
4,10,44,2:45.310
4,11,38,2:46.910
4,12,34,2:48.210
4,13,29,2:49.550
4,14,26,2:50.930
4,15,24,2:52.330
4,16,21,2:53.660
4,17,17,2:55.0
4,18,16,2:56.350
4,19,14,2:57.700
4,20,13,2:58.830
4,21,12,3:0.610
4,22,10,3:2.180
4,23,8,3:3.770
4,24,7,3:4.890
4,25,6,3:6.750
4,26,5,3:8.300
4,27,4,3:9.570
4,28,3,3:11.290
4,29,2,3:12.910
4,30,1,3:14.510
4,31,0,3:15.530
7,3,0,3:23.90
3,3,0,3:29.160
3,4,0,3:30.360
1,3,184,3:34.810
1,4,164,3:36.470
1,5,143,3:37.850
1,6,132,3:38.880
1,7,114,3:40.590
1,8,103,3:41.590
1,9,90,3:42.690
1,10,81,3:44.310
1,11,68,3:45.730
1,12,60,3:47.60
1,13,54,3:48.430
1,14,50,3:49.830
1,15,46,3:51.210
1,16,42,3:52.530
1,17,36,3:53.870
1,18,31,3:55.30
1,19,28,3:56.620
1,20,26,3:58.90
1,21,22,3:59.420
1,22,19,4:0.990
1,23,16,4:2.340
1,24,14,4:3.790
1,25,12,4:5.410
1,26,10,4:6.880
1,27,8,4:8.270
1,28,7,4:9.780
1,29,6,4:11.320
1,30,5,4:12.740
1,31,4,4:14.310
1,32,3,4:15.440
1,33,2,4:17.170
1,34,1,4:18.730
1,35,0,4:20.80
2,13,186,4:23.210
2,14,166,4:24.560
