form_field, field_value
1,4
2,3
3,1
4,2
5,4
6,1
7,1
8,4
9,1
10,1
11,4
12,1
13,1
14,1
15,4
16,4
17,1
18,1
19,4
20,4
21,4
22,1
23,4
24,1
25,1
26,4
27,4
28,1
29,1
30,4
31,1
32,1
33,3
34,4
35,1
36,4
37,1
38,1
39,4
40,1

id,X,Y,Exploit,Replenishment Rate,Rewarding
0,729,600,2,4,false
1,521,600,42,4,true
2,375,454,43,4,true
3,375,246,2,4,false
4,521,100,57,4,true
5,729,100,4,4,false
6,875,246,46,4,true
7,875,454,2,4,false
-1,-1,-1,-1,11476,false
0,729,600,1,2,false
1,521,600,1,2,false
2,375,454,51,8,true
3,375,246,52,2,true
4,521,100,1,2,false
5,729,100,35,2,true
6,875,246,1,2,false
7,875,454,56,8,true
-1,-1,-1,-1,13908,false
0,729,600,33,2,true
1,521,600,2,2,false
2,375,454,2,2,false
3,375,246,44,4,true
4,521,100,42,8,true
5,729,100,1,2,false
6,875,246,66,16,true
7,875,454,1,2,false
-1,-1,-1,-1,18182,false

Normals
-18.72489883275111
-6.651221539036777
-0.7646185190193024

id, exploit, reward, time
6,1,45,0:5.210
7,1,0,0:9.40
0,1,0,0:12.530
6,2,40,0:16.420
6,3,36,0:18.730
6,4,31,0:20.280
6,5,28,0:21.350
6,6,24,0:22.450
6,7,21,0:23.810
6,8,18,0:25.570
6,9,16,0:26.900
6,10,14,0:28.500
6,11,12,0:29.950
6,12,11,0:31.540
6,13,10,0:32.790
6,14,8,0:34.90
6,15,7,0:35.780
6,16,6,0:37.190
6,17,5,0:38.510
6,18,4,0:40.160
6,19,3,0:41.200
6,20,2,0:42.300
6,21,1,0:43.860
6,22,0,0:44.930
5,1,0,0:48.520
5,2,0,0:51.610
4,1,123,0:55.340
4,2,107,0:57.80
4,3,94,0:58.450
4,4,85,0:59.780
4,5,76,1:1.60
4,6,71,1:2.300
4,7,63,1:3.550
4,8,57,1:4.560
4,9,52,1:6.700
4,10,46,1:8.220
4,11,41,1:9.720
4,12,35,1:10.760
4,13,30,1:11.850
4,14,27,1:13.60
4,15,24,1:14.200
4,16,21,1:15.760
4,17,19,1:16.900
4,18,17,1:18.110
4,19,15,1:19.290
4,20,13,1:20.420
4,21,11,1:22.120
4,22,9,1:23.350
4,23,7,1:24.590
4,24,6,1:25.640
4,25,5,1:27.220
4,26,4,1:28.250
4,27,3,1:29.370
4,28,2,1:30.550
4,29,1,1:31.630
4,30,0,1:33.30
5,3,0,1:36.610
5,4,0,1:38.680
3,1,0,1:42.770
2,1,182,1:46.370
2,2,161,1:47.730
2,3,151,1:48.790
2,4,137,1:49.840
2,5,124,1:50.940
2,6,114,1:51.940
2,7,97,1:52.990
2,8,87,1:54.200
2,9,80,1:55.350
2,10,74,1:56.530
2,11,68,1:57.610
2,12,60,1:58.660
2,13,55,1:59.710
2,14,50,2:0.780
2,15,44,2:1.860
2,16,40,2:2.930
2,17,37,2:4.30
2,18,33,2:5.210
2,19,29,2:6.400
2,20,25,2:7.580
2,21,22,2:8.600
2,22,20,2:9.640
2,23,17,2:10.810
2,24,15,2:11.980
2,25,13,2:13.90
2,26,12,2:14.190
2,27,10,2:15.400
2,28,8,2:16.580
2,29,7,2:17.760
2,30,6,2:18.930
2,31,5,2:20.90
2,32,4,2:21.240
2,33,3,2:22.340
2,34,2,2:23.440
2,35,1,2:24.540
2,36,0,2:26.170
1,1,185,2:29.620
1,2,165,2:30.830
1,3,150,2:32.50
1,4,130,2:33.100
1,5,115,2:34.120
1,6,105,2:35.170
1,7,96,2:36.170
1,8,84,2:37.390
1,9,76,2:38.560
1,10,69,2:39.610
1,11,62,2:40.710
1,12,54,2:41.790
1,13,48,2:42.930
1,14,43,2:44.30
1,15,39,2:45.250
1,16,34,2:46.370
1,17,30,2:47.460
1,18,25,2:48.560
1,19,23,2:49.630
1,20,20,2:50.740
1,21,18,2:51.850
1,22,15,2:52.980
1,23,13,2:54.90
1,24,11,2:55.180
1,25,9,2:56.320
1,26,7,2:57.470
1,27,6,2:58.500
1,28,5,2:59.600
1,29,4,3:0.620
1,30,3,3:1.750
1,31,2,3:2.850
1,32,1,3:4.380
1,33,0,3:5.470
0,2,0,3:8.610
7,2,0,3:11.980
6,23,183,3:14.850
6,24,169,3:16.20
4,31,179,3:21.10
6,25,157,3:25.590
6,26,132,3:26.680
6,27,118,3:27.720
6,28,101,3:28.810
6,29,93,3:29.830
6,30,81,3:30.940
3,2,0,3:36.210
2,37,150,3:39.190
2,38,137,3:40.380
2,39,126,3:41.400
2,40,111,3:42.420
2,41,94,3:43.450
2,42,87,3:44.580
2,43,78,3:45.680
4,32,186,3:49.380
4,33,167,3:50.630
4,34,150,3:51.660
4,35,135,3:52.830
4,36,122,3:53.830
4,37,109,3:54.970
4,38,99,3:56.120
4,39,88,3:57.240
4,40,79,3:58.300
4,41,70,3:59.310
4,42,63,4:0.440
4,43,55,4:2.640
6,31,145,4:6.790
6,32,130,4:7.890
6,33,120,4:9.100
6,34,107,4:10.140
6,35,95,4:11.190
6,36,84,4:12.420
6,37,75,4:13.570
6,38,68,4:14.640
6,39,61,4:15.690
6,40,55,4:16.900
6,41,48,4:18.30
1,34,149,4:22.380
1,35,126,4:23.410
1,36,112,4:24.620
1,37,98,4:25.800
1,38,89,4:26.980
1,39,80,4:28.30
1,40,72,4:29.90
1,41,65,4:30.240
1,42,57,4:31.450
6,42,79,4:36.370
6,43,72,4:37.420
6,44,66,4:38.490
6,45,59,4:39.680
6,46,55,4:40.860
4,44,150,4:44.490
4,45,135,4:45.650
4,46,124,4:46.660
4,47,110,4:47.820
4,48,93,4:49.0
4,49,86,4:50.20
4,50,78,4:51.240
4,51,70,4:52.310
4,52,66,4:53.400
4,53,58,4:54.430
4,54,51,4:55.500
4,55,45,4:56.670
4,56,41,4:57.870
4,57,37,4:58.970
-1,-1,11476,undefined
6,1,0,0:4.490
5,1,56,0:9.660
4,1,0,0:12.910
3,1,58,0:17.520
2,1,67,0:21.300
1,1,0,0:24.990
0,1,0,0:28.400
7,1,79,0:31.510
7,2,73,0:33.30
7,3,64,0:34.230
7,4,56,0:35.300
7,5,50,0:36.480
7,6,43,0:37.670
7,7,38,0:38.700
7,8,34,0:39.770
7,9,30,0:40.980
7,10,26,0:42.160
7,11,23,0:43.220
7,12,21,0:44.290
7,13,19,0:45.440
5,2,81,0:50.620
5,3,73,0:51.860
5,4,67,0:52.970
5,5,59,0:55.140
5,6,53,0:56.420
5,7,46,0:57.440
5,8,40,0:58.530
5,9,35,0:59.680
5,10,30,1:0.770
5,11,27,1:1.960
5,12,24,1:3.190
5,13,21,1:4.230
5,14,18,1:5.300
3,2,103,1:9.590
3,3,87,1:10.610
3,4,78,1:11.710
3,5,72,1:12.720
3,6,65,1:13.790
3,7,58,1:14.900
3,8,51,1:16.20
3,9,46,1:17.100
3,10,42,1:18.140
3,11,36,1:19.210
3,12,32,1:20.230
3,13,28,1:21.250
3,14,24,1:22.350
2,2,174,1:26.250
2,3,153,1:27.460
2,4,141,1:28.700
2,5,128,1:29.900
2,6,113,1:31.10
2,7,101,1:32.240
2,8,92,1:33.340
2,9,79,1:34.390
2,10,68,1:35.580
2,11,60,1:36.720
2,12,55,1:37.860
2,13,47,1:38.990
2,14,40,1:40.110
2,15,34,1:41.130
2,16,29,1:42.130
2,17,25,1:43.210
7,14,179,1:47.780
7,15,160,1:48.890
7,16,141,1:50.120
7,17,131,1:51.120
7,18,117,1:52.200
7,19,103,1:53.480
7,20,93,1:54.720
7,21,86,1:55.720
7,22,79,1:56.720
7,23,72,1:57.870
7,24,63,1:59.20
7,25,56,2:0.130
7,26,51,2:1.290
7,27,46,2:2.420
7,28,41,2:3.470
7,29,37,2:4.580
7,30,33,2:5.740
5,15,107,2:11.250
5,16,94,2:12.330
5,17,81,2:13.570
5,18,73,2:14.780
5,19,65,2:15.960
5,20,57,2:17.60
5,21,52,2:18.90
5,22,45,2:19.230
5,23,39,2:20.370
5,24,35,2:22.360
5,25,31,2:24.290
3,15,107,2:29.390
3,16,97,2:30.610
3,17,83,2:31.820
3,18,75,2:33.10
3,19,69,2:34.210
3,20,60,2:35.280
3,21,52,2:36.320
3,22,46,2:37.540
3,23,42,2:38.540
3,24,37,2:39.680
3,25,33,2:40.880
3,26,28,2:42.40
3,27,25,2:43.130
2,18,174,2:47.500
2,19,155,2:48.620
2,20,138,2:49.800
2,21,126,2:50.950
2,22,114,2:52.150
2,23,98,2:53.330
2,24,85,2:54.550
2,25,76,2:55.580
2,26,67,2:56.640
2,27,59,2:57.800
2,28,52,2:58.810
2,29,45,2:59.990
2,30,39,3:1.140
7,31,184,3:5.950
7,32,170,3:7.340
7,33,155,3:8.380
7,34,137,3:9.480
7,35,121,3:10.540
7,36,113,3:11.540
7,37,101,3:12.630
7,38,91,3:13.700
7,39,79,3:14.740
7,40,69,3:15.760
7,41,64,3:16.770
7,42,58,3:18.0
7,43,50,3:19.30
7,44,45,3:20.80
7,45,40,3:21.120
7,46,35,3:23.930
5,26,107,3:28.260
5,27,96,3:29.320
