form_field, field_value
1,1
2,3
3,3
4,2
5,3
6,1
7,2
8,1
9,1
10,3
11,4
12,1
13,1
14,1
15,2
16,1
17,2
18,2
19,3
20,2
21,3
22,3
23,2
24,1
25,2
26,1
27,1
28,1
29,3
30,3
31,2
32,2
33,2
34,3
35,4
36,1
37,2
38,4
39,1
40,2

id,X,Y,Exploit,Replenishment Rate,Rewarding
0,729,600,3,4,false
1,521,600,27,4,true
2,375,454,28,4,true
3,375,246,3,4,false
4,521,100,28,4,true
5,729,100,3,4,false
6,875,246,27,4,true
7,875,454,3,4,false
-1,-1,-1,-1,9911,false
0,729,600,1,2,false
1,521,600,1,2,false
2,375,454,48,8,true
3,375,246,19,2,true
4,521,100,1,2,false
5,729,100,22,2,true
6,875,246,2,2,false
7,875,454,51,8,true
-1,-1,-1,-1,15326,false
0,729,600,15,2,true
1,521,600,3,2,false
2,375,454,2,2,false
3,375,246,25,4,true
4,521,100,43,8,true
5,729,100,4,2,false
6,875,246,34,16,true
7,875,454,2,2,false
-1,-1,-1,-1,13409,false

Normals
0.6006806229254882
2.5092985373354795
0.2890535544399192

id, exploit, reward, time
4,1,62,0:3.650
5,1,0,0:9.990
6,1,67,0:13.420
2,1,69,0:19.40
0,1,0,0:23.210
1,1,76,0:26.280
7,1,0,0:30.370
3,1,0,0:35.350
4,2,69,0:38.410
6,2,70,0:42.550
1,2,73,0:47.790
0,2,0,0:51.170
7,2,0,0:54.130
1,3,63,0:58.650
1,4,56,1:0.750
2,2,80,1:3.950
3,2,0,1:7.300
2,3,74,1:10.310
2,4,68,1:12.130
2,5,59,1:13.490
1,5,65,1:16.460
6,3,90,1:21.200
6,4,78,1:22.740
5,2,0,1:25.710
4,3,104,1:28.580
4,4,99,1:30.300
4,5,86,1:31.780
4,6,78,1:33.80
4,7,70,1:34.340
4,8,63,1:35.620
4,9,58,1:36.630
4,10,49,1:37.890
4,11,43,1:39.790
3,3,0,1:43.160
2,6,96,1:46.50
2,7,87,1:47.420
1,6,106,1:50.280
1,7,95,1:51.900
1,8,88,1:53.160
1,9,80,1:54.330
2,8,92,1:57.90
2,9,81,1:58.500
5,3,0,2:2.770
6,5,123,2:6.110
6,6,107,2:7.740
6,7,97,2:9.10
6,8,89,2:10.140
6,9,81,2:11.250
