form_field, field_value
1,1
2,3
3,4
4,4
5,1
6,3
7,3
8,1
9,3
10,2
11,1
12,4
13,3
14,3
15,1
16,1
17,3
18,3
19,1
20,1
21,3
22,2
23,3
24,1
25,2
26,1
27,3
28,1
29,2
30,3
31,2
32,1
33,3
34,3
35,2
36,3
37,4
38,2
39,3
40,2

id,X,Y,Exploit,Replenishment Rate,Rewarding
0,729,600,3,4,false
1,521,600,30,4,true
2,375,454,33,4,true
3,375,246,2,4,false
4,521,100,29,4,true
5,729,100,2,4,false
6,875,246,29,4,true
7,875,454,2,4,false
-1,-1,-1,-1,-1
0,729,600,1,2,false
1,521,600,2,2,false
2,375,454,55,8,true
3,375,246,27,2,true
4,521,100,1,2,false
5,729,100,25,2,true
6,875,246,1,2,false
7,875,454,47,8,true
-1,-1,-1,-1,-1
0,729,600,21,2,true
1,521,600,2,2,false
2,375,454,2,2,false
3,375,246,30,4,true
4,521,100,33,8,true
5,729,100,2,2,false
6,875,246,60,16,true
7,875,454,1,2,false
-1,-1,-1,-1,-1

Normals
3.8424090120336754
-2.652940885248272
1.799821742501666

id, exploit, reward
4,1,64
3,1,0
4,2,57
5,1,0
6,1,71
7,1,0
0,1,0
1,1,77
2,1,73
4,3,62
6,2,77
6,3,70
4,4,59
1,2,86
0,2,0
1,3,79
2,2,88
2,3,78
2,4,71
2,5,64
1,4,85
1,5,78
1,6,69
4,5,84
4,6,76
4,7,67
6,4,106
6,5,98
6,6,88
6,7,80
6,8,72
6,9,65
6,10,59
1,7,95
1,8,87
1,9,76
1,10,68
1,11,63
2,6,119
2,7,105
2,8,93
2,9,86
2,10,74
2,11,65
2,12,60
2,13,54
1,12,83
1,13,74
1,14,66
6,11,106
6,12,97
6,13,89
6,14,82
6,15,74
2,14,77
2,15,69
2,16,62
4,8,169
4,9,148
4,10,131
4,11,114
4,12,105
4,13,94
4,14,85
6,16,98
6,17,87
6,18,79
1,15,124
1,16,113
1,17,101
1,18,93
1,19,83
2,17,110
2,18,99
2,19,89
2,20,78
0,3,0
7,2,0
5,2,0
3,2,0
4,15,121
4,16,113
4,17,101
4,18,92
4,19,79
4,20,70
4,21,62
4,22,53
4,23,50
6,19,135
6,20,122
6,21,109
6,22,98
6,23,89
2,21,118
2,22,103
2,23,92
2,24,84
1,20,155
1,21,137
1,22,124
1,23,106
1,24,98
1,25,86
1,26,75
4,24,109
4,25,98
4,26,90
4,27,76
4,28,68
6,24,140
6,25,127
6,26,112
6,27,99
6,28,87
6,29,78
1,27,102
1,28,88
1,29,80
1,30,72
2,25,157
2,26,142
2,27,128
2,28,113
2,29,103
2,30,93
2,31,81
2,32,72
2,33,65
4,29,134
-1,-1,11013
4,1,0
5,1,57
6,1,0
7,1,65
0,1,0
1,1,0
2,1,73
3,1,65
3,2,59
2,2,78
2,3,72
2,4,62
2,5,57
5,2,64
5,3,57
5,4,50
7,2,132
7,3,120
7,4,110
7,5,100
7,6,92
7,7,82
7,8,74
7,9,66
1,2,0
2,6,123
2,7,113
2,8,97
2,9,87
2,10,81
2,11,73
2,12,63
2,13,57
2,14,52
2,15,47
2,16,41
3,3,98
3,4,88
3,5,80
3,6,73
3,7,66
3,8,59
5,5,93
5,6,82
5,7,77
5,8,67
5,9,59
5,10,52
7,10,179
7,11,165
7,12,145
7,13,129
7,14,115
7,15,105
7,16,92
7,17,81
7,18,73
7,19,65
7,20,58
7,21,52
2,17,180
2,18,159
2,19,141
2,20,128
2,21,118
2,22,102
2,23,96
2,24,86
2,25,76
2,26,69
3,9,105
3,10,93
3,11,86
3,12,78
3,13,71
3,14,66
3,15,60
3,16,54
3,17,48
5,11,101
5,12,94
5,13,85
5,14,75
5,15,67
5,16,61
5,17,56
5,18,48
7,22,188
7,23,169
7,24,147
7,25,124
7,26,114
7,27,101
7,28,90
7,29,81
7,30,75
2,27,182
2,28,166
2,29,146
2,30,128
2,31,115
2,32,107
2,33,94
2,34,80
2,35,75
2,36,68
2,37,62
2,38,56
3,18,99
3,19,89
3,20,79
3,21,73
3,22,65
3,23,58
3,24,54
5,19,90
5,20,81
5,21,71
5,22,64
5,23,57
5,24,51
5,25,45
7,31,184
7,32,166
7,33,153
7,34,130
7,35,116
7,36,100
7,37,92
7,38,79
7,39,68
7,40,60
2,39,185
2,40,167
2,41,149
2,42,133
2,43,115
2,44,104
2,45,95
2,46,83
2,47,74
2,48,65
2,49,58
7,41,134
7,42,120
7,43,107
7,44,98
7,45,87
7,46,81
7,47,73
2,50,110
2,51,98
2,52,89
2,53,76
3,25,128
3,26,113
3,27,102
2,54,90
2,55,82
-1,-1,14233
4,1,62
5,1,0
6,1,77
7,1,0
0,1,68
1,1,0
2,1,0
3,1,75
4,2,78
3,2,71
6,2,127
6,3,111
6,4,99
6,5,93
6,6,83
0,2,78
0,3,66
2,2,0
1,2,0
3,3,89
3,4,80
3,5,72
3,6,64
5,2,0
4,3,156
4,4,141
4,5,127
4,6,112
4,7,100
4,8,91
4,9,78
4,10,69
3,7,84
3,8,73
3,9,66
6,7,174
6,8,160
6,9,145
6,10,132
6,11,119
6,12,107
6,13,94
6,14,86
4,11,138
4,12,121
4,13,109
4,14,99
4,15,91
3,10,105
3,11,97
3,12,87
3,13,79
3,14,74
3,15,67
6,15,175
6,16,154
6,17,140
6,18,129
6,19,116
6,20,102
6,21,94
0,4,143
0,5,131
0,6,113
0,7,102
0,8,94
0,9,82
6,22,168
6,23,148
6,24,129
6,25,116
6,26,108
6,27,100
4,16,178
4,17,165
4,18,147
4,19,129
4,20,116
4,21,108
3,16,143
3,17,132
3,18,114
3,19,102
3,20,93
3,21,87
4,22,129
4,23,115
6,28,167
6,29,155
6,30,143
6,31,129
6,32,116
6,33,103
6,34,91
6,35,82
6,36,74
6,37,64
6,38,56
6,39,49
6,40,43
6,41,38
0,10,131
0,11,120
0,12,115
0,13,101
6,42,90
6,43,85
6,44,74
4,24,177
4,25,155
4,26,139
4,27,124
4,28,110
3,22,179
3,23,157
3,24,141
3,25,129
3,26,113
3,27,102
3,28,92
4,29,148
4,30,132
4,31,113
4,32,98
3,29,93
3,30,83
4,33,100
6,45,177
6,46,165
6,47,139
6,48,131
6,49,116
6,50,105
0,14,145
0,15,128
0,16,114
0,17,105
0,18,94
0,19,83
0,20,75
0,21,64
6,51,174
6,52,158
6,53,141
6,54,126
6,55,112
6,56,103
6,57,91
6,58,76
6,59,69
6,60,62
-1,-1,15840

difficulty
5
6
7
