form_field, field_value
1,3
2,3
3,2
4,1
5,4
6,1
7,2
8,3
9,1
10,1
11,3
12,1
13,1
14,1
15,4
16,3
17,2
18,1
19,3
20,3
21,3
22,1
23,3
24,1
25,1
26,4
27,3
28,1
29,2
30,3
31,1
32,1
33,3
34,2
35,1
36,3
37,1
38,1
39,3
40,2

id,X,Y,Exploit,Replenishment Rate,Rewarding
0,729,600,2,4,false
1,521,600,47,4,true
2,375,454,44,4,true
3,375,246,1,4,false
4,521,100,0,4,true
5,729,100,0,4,false
6,875,246,48,4,true
7,875,454,2,4,false
-1,-1,-1,-1,9186,false
0,729,600,1,2,false
1,521,600,1,2,false
2,375,454,79,8,true
3,375,246,38,2,true
4,521,100,0,2,false
5,729,100,0,2,true
6,875,246,1,2,false
7,875,454,66,8,true
-1,-1,-1,-1,16648,false
0,729,600,32,2,true
1,521,600,1,2,false
2,375,454,1,2,false
3,375,246,52,4,true
4,521,100,0,8,true
5,729,100,0,2,false
6,875,246,85,16,true
7,875,454,1,2,false
-1,-1,-1,-1,14351,false

Normals
-4.045362405882496
7.915832273429638
-5.130724251335601

id, exploit, reward, time
3,1,0,0:10.480
7,1,0,0:17.350
1,1,58,0:22.270
0,1,0,0:25.970
1,2,52,0:29.590
2,1,65,0:32.700
2,2,59,0:34.700
2,3,52,0:36.510
2,4,46,0:38.670
1,3,62,0:41.820
1,4,56,0:43.290
6,1,85,0:47.910
6,2,77,0:49.350
6,3,70,0:50.740
6,4,63,0:52.120
6,5,54,0:53.670
6,6,47,0:55.100
6,7,42,0:56.450
6,8,37,0:57.690
0,2,0,1:3.40
7,2,0,1:6.360
1,5,74,1:10.890
1,6,67,1:11.920
2,5,86,1:14.820
2,6,76,1:16.410
1,7,66,1:19.680
2,7,73,1:22.840
2,8,66,1:24.330
2,9,58,1:25.850
2,10,51,1:27.170
1,8,75,1:30.430
1,9,65,1:31.940
1,10,57,1:33.320
6,9,80,1:38.20
6,10,73,1:39.470
6,11,66,1:40.900
6,12,60,1:42.200
6,13,53,1:43.520
6,14,45,1:44.820
6,15,39,1:46.410
1,11,76,1:51.410
1,12,68,1:52.770
1,13,60,1:54.310
1,14,53,1:55.660
1,15,48,1:56.940
2,11,99,2:0.50
2,12,86,2:1.600
2,13,78,2:3.190
2,14,71,2:4.570
2,15,62,2:5.950
2,16,57,2:7.340
2,17,52,2:8.900
2,18,46,2:10.410
1,16,76,2:13.760
1,17,69,2:15.260
1,18,63,2:16.680
1,19,53,2:17.810
1,20,49,2:19.490
2,19,61,2:22.780
6,16,94,2:28.400
6,17,84,2:29.760
6,18,73,2:31.140
6,19,68,2:32.520
6,20,61,2:33.910
6,21,55,2:35.270
6,22,49,2:36.680
1,21,67,2:42.710
1,22,60,2:44.160
1,23,55,2:45.510
1,24,48,2:46.580
2,20,92,2:50.10
2,21,84,2:51.490
2,22,75,2:52.880
2,23,68,2:54.420
2,24,61,2:55.920
2,25,55,2:57.350
2,26,47,2:58.780
2,27,42,3:0.230
1,25,74,3:3.590
1,26,67,3:5.160
1,27,61,3:6.640
1,28,55,3:8.50
1,29,48,3:9.350
2,28,51,3:12.680
2,29,47,3:14.60
6,23,113,3:18.600
6,24,102,3:20.130
6,25,95,3:21.540
6,26,84,3:22.940
6,27,74,3:24.330
6,28,65,3:25.730
6,29,57,3:27.0
6,30,51,3:28.410
6,31,46,3:29.780
1,30,79,3:34.390
1,31,73,3:35.750
1,32,69,3:37.10
1,33,61,3:38.240
1,34,55,3:39.540
2,30,101,3:43.290
2,31,90,3:44.640
2,32,79,3:45.940
2,33,71,3:47.280
2,34,61,3:48.640
2,35,56,3:50.310
6,32,86,3:55.300
6,33,82,3:56.640
6,34,78,3:57.940
6,35,67,3:59.310
6,36,58,4:0.600
6,37,51,4:1.980
6,38,47,4:3.350
6,39,40,4:4.720
6,40,34,4:6.240
1,35,95,4:11.160
1,36,84,4:12.900
1,37,75,4:14.150
1,38,69,4:15.220
1,39,62,4:16.590
1,40,55,4:17.710
1,41,50,4:18.790
2,36,105,4:22.20
2,37,95,4:23.30
2,38,83,4:24.530
2,39,75,4:25.600
2,40,67,4:26.640
2,41,60,4:27.680
2,42,54,4:28.810
2,43,46,4:30.690
6,41,91,4:36.610
6,42,79,4:37.780
6,43,70,4:39.280
6,44,63,4:40.880
6,45,58,4:42.160
6,46,54,4:43.300
